,rid
645,2379
646,5004
647,5004
648,5004
649,5004
650,6013
651,6013
652,6013
653,6716
654,6716
655,6716
656,2239
657,4084
658,4674
659,4674
660,5290
661,6005
662,6033
663,6033
664,6184
665,6202
666,6385
667,74
668,74
669,120
670,2219
671,2219
672,2219
673,2219
674,2245
675,2245
676,2245
677,2245
678,2245
679,2245
680,4869
681,4869
682,4869
683,4869
684,4869
685,4869
686,4919
687,4919
688,4919
689,4919
690,4919
691,5079
692,5083
693,5093
694,5093
695,5093
696,5093
697,5109
698,5118
699,5118
700,5118
701,5169
702,5169
703,5169
704,5170
705,5170
706,5277
707,5288
708,5288
709,5288
710,6001
711,6001
712,6001
713,6002
714,6002
715,6002
716,6034
717,6034
718,6183
719,6183
720,6317
721,6327
722,6327
723,6370
724,6370
725,6370
726,6463
727,6516
728,6577
729,6577
730,6582
731,6582
732,6640
733,6640
734,6643
735,6643
736,6643
737,6648
738,6733
739,6788
740,6788
741,6842
742,6849
743,6961
744,6965
745,7007
746,7024
747,7071
748,2395
749,2395
750,4290
751,4290
752,4384
753,4384
754,4384
755,4585
756,4585
757,5158
758,5158
759,5219
760,5219
761,5219
762,6289
763,6505
764,6726
765,6726
766,6798
767,6798
768,2018
769,2018
770,2018
771,2018
772,2018
773,2018
774,2022
775,2022
776,2022
777,2022
778,2022
779,2022
780,2233
781,2233
782,2233
783,2233
784,2233
785,4005
786,4005
787,4005
788,4005
789,4021
790,4021
791,4021
792,4021
793,4024
794,4024
795,4024
796,4024
797,4029
798,4029
799,4029
800,4029
801,4032
802,4032
803,4032
804,4032
805,4032
806,4042
807,4042
808,4042
809,4042
810,4149
811,4149
812,4149
813,4149
814,4149
815,4194
816,4194
817,4194
818,4194
819,4194
820,4203
821,4203
822,4203
823,4203
824,4203
825,4218
826,4218
827,4218
828,4218
829,4218
830,4474
831,4474
832,4474
833,4476
834,4476
835,4476
836,4476
837,4496
838,4496
839,4496
840,4496
841,4590
842,4590
843,4590
844,4590
845,4721
846,4721
847,4721
848,4721
849,4947
850,4947
851,4947
852,4947
853,677
854,677
855,1169
856,2119
857,4277
858,4277
859,4429
860,5289
861,5289
862,5289
863,6211
864,6211
865,6279
866,6279
867,6293
868,6293
869,6294
870,6600
871,6600
872,6602
873,6602
874,6699
875,6700
876,6701
877,6709
878,6717
879,6804
880,734
881,1016
882,1098
883,4176
884,4176
885,4177
886,4179
887,4179
888,5198
889,5198
890,5198
891,5198
892,5259
893,5259
894,5259
895,6266
896,6266
897,6266
898,6298
899,6298
900,6352
901,6352
902,6352
903,6352
904,6497
905,6497
906,6572
907,6572
908,6572
909,6572
910,6697
911,6705
912,6705
913,6705
914,6889
915,6889
916,6969
917,6969
918,6976
919,6976
920,7066
921,7079
922,7088
923,7100
924,7114
925,156
926,156
927,156
928,555
929,4114
930,4114
931,4114
932,4414
933,4464
934,4464
935,4464
936,4785
937,4785
938,4785
939,4785
940,4785
941,6195
942,6200
943,6200
944,6306
945,6306
946,6306
947,6480
948,6480
949,6480
950,6488
951,6488
952,6488
953,6488
954,6551
955,6551
956,6641
957,6660
958,6722
959,6722
960,6730
961,6739
962,6751
963,6927
964,6947
965,6947
966,6948
967,6950
968,6999
969,6999
970,7000
971,7000
972,7001
973,7004
974,7021
975,7021
976,7043
977,7049
978,7050
979,7073
980,7076
981,7105
982,7121
983,7123
984,2380
985,4389
986,4430
987,4491
988,4715
989,6179
990,6189
991,6231
992,6316
993,6466
994,150
995,303
996,377
997,454
998,4028
999,4030
1000,4071
1001,4214
1002,4302
1003,4308
1004,4410
1005,4706
1006,6031
1007,6032
1008,6083
1009,6115
1010,6125
1011,6141
1012,6144
1013,679
1014,679
1015,679
1016,1418
1017,1418
1018,1418
1019,4037
1020,4051
1021,4143
1022,4143
1023,4200
1024,4200
1025,4200
1026,4271
1027,4271
1028,4271
1029,4427
1030,4427
1031,4510
1032,4513
1033,4513
1034,4513
1035,4874
1036,4874
1037,4874
1038,4876
1039,5026
1040,5078
1041,5078
1042,5097
1043,5097
1044,5100
1045,5100
1046,5100
1047,5100
1048,5141
1049,5253
1050,5253
1051,5253
1052,5253
1053,6136
1054,6159
1055,6159
1056,6192
1057,6192
1058,6226
1059,6292
1060,6292
1061,6314
1062,6314
1063,6354
1064,6354
1065,6354
1066,6401
1067,6401
1068,6447
1069,6731
1070,6731
1071,6785
1072,6785
1073,6785
1074,6786
1075,6786
1076,6786
1077,6801
1078,6801
1079,919
1080,919
1081,2357
1082,2357
1083,2357
1084,2357
1085,2357
1086,2396
1087,2396
1088,2396
1089,2396
1090,2396
1091,4557
1092,4557
1093,4557
1094,4557
1095,4578
1096,4578
1097,4578
1098,4578
1099,4661
1100,4661
1101,4661
1102,4661
1103,4813
1104,4813
1105,4813
1106,4813
1107,5070
1108,5070
1109,5070
1110,5070
1111,5202
1112,5202
1113,5208
1114,5272
1115,5287
1116,5296
1117,934
1118,5292
1119,6746
1120,6869
1121,6869
1122,6869
1123,127
1124,127
1125,127
1126,127
1127,210
1128,473
1129,473
1130,802
1131,2184
1132,2184
1133,2184
1134,2187
1135,2187
1136,2187
1137,2187
1138,2315
1139,2315
1140,2315
1141,4061
1142,4061
1143,4067
1144,4332
1145,4332
1146,4340
1147,4340
1148,4424
1149,4431
1150,4856
1151,5040
1152,6229
1153,6229
1154,6229
1155,6229
1156,6236
1157,6236
1158,6236
1159,6236
1160,6386
1161,6394
1162,6542
1163,6548
1164,6886
1165,6911
1166,6911
1167,6942
1168,6966
1169,7078
1170,2121
1171,2121
1172,2121
1173,4224
1174,4224
1175,4428
1176,4428
1177,4428
1178,5278
1179,5278
1180,5282
1181,5282
1182,5282
1183,6197
1184,6283
1185,6283
1186,6287
1187,6415
1188,6415
1189,6563
1190,6563
1191,6564
1192,6629
1193,6629
1194,6690
1195,7117
1196,2201
1197,4234
1198,4434
1199,4503
1200,4649
1201,6250
1202,6269
1203,6275
1204,6278
1205,6417
1206,6419
1207,896
1208,896
1209,4003
1210,4275
1211,4506
1212,6343
1213,6362
1214,6534
1215,6534
1216,6593
1217,6601
1218,6655
1219,6658
1220,6707
1221,6734
1222,2146
1223,4076
1224,4076
1225,4076
1226,4086
1227,6016
1228,6016
1229,6025
1230,6025
1231,6038
1232,6038
1233,6038
1234,6097
1235,6097
1236,6097
1237,6175
1238,6175
1239,6175
1240,6175
1241,6396
1242,6396
1243,6396
1244,6476
1245,6476
1246,6476
1247,6632
1248,6632
1249,6632
1250,6632
1251,6691
1252,2351
1253,4469
1254,4469
1255,4469
1256,4469
1257,4512
1258,4512
1259,4512
1260,4512
1261,4556
1262,4556
1263,4556
1264,4556
1265,5091
1266,5280
1267,4380
1268,4531
1269,4594
1270,6213
1271,6220
1272,6221
1273,6300
1274,6373
1275,6376
1276,6405
1277,6406
1278,416
1279,416
1280,2392
1281,2392
1282,2392
1283,2392
1284,4404
1285,4404
1286,4404
1287,5047
1288,5234
1289,5234
1290,6039
1291,6039
1292,6057
1293,6057
1294,6057
1295,6063
1296,6063
1297,6063
1298,6113
1299,6113
1300,6251
1301,6251
1302,6251
1303,6309
1304,6309
1305,6347
1306,6347
1307,6429
1308,6429
1309,6429
1310,6462
