,no_files,noise,fc_gen_method,pearson_r_pos,pearson_r_neg,spearman_rho_pos,spearman_rho_neg,r2_pos,r2_neg,mse_pos,mse_neg,2
0,100,0.0001,compute_correlation,0.012331415917512191,0.09307692402536684,-0.07442064099662403,0.12384622810138644,-7.925653386674098,-9.484462543704764,38.847253881028166,36.21090206669335,
1,100,0.0001,normalise_correlate_fc,0.0057740462113533425,0.04331383889970861,-0.08293048995500173,0.10443032006861648,-8.453045811498269,-10.77477622343555,38.761465625640824,37.03756772786079,
2,50,0.0001,normalise_correlate_fc,0.18614115325474617,0.11600714079265295,0.1344966709566288,0.18992006681545398,-2.638025959781969,-2.9247033226792594,23.157315789045366,24.688215927138945,
0,50,0.0001,compute_correlation,0.2526155041042346,0.1056036696996043,0.13824604205549118,0.1788161600995922,-2.263828681482704,-2.8401288753580474,21.754883892490287,25.132758015280334,
0,40,0.0001,compute_correlation,0.1125336736718718,0.14957827490132064,0.057180436812101366,0.13370269625686756,-2.813653035647043,-4.14354006667317,21.521482568535575,19.440756090665026,
0,40,0.0001,normalise_correlate_fc,0.11736662934626284,0.19176811612315506,0.06647577875692573,0.19576553489857365,-2.868561233360716,-3.40311453464268,21.32224878928409,19.08873899546731,
